step,phi_max,twist_energy_max,soliton_energy,twist_energy,gravity_energy,discarded_energy,alpha_pwari,emitted_energy_cumulative,Lz
11800,0.27583,5.16128e-03,6.63170e+01,5.35875e-01,6.97335e-01,1.06792e-01,0.00808050,1.69248e+02,6.43513e-08
11900,0.26042,4.58230e-03,5.35805e+01,5.15013e-01,6.80467e-01,1.16375e-01,0.00961194,1.70460e+02,1.43167e-06
12000,0.20167,2.72091e-03,6.40120e+01,3.51805e-01,7.01431e-01,1.00952e-01,0.00549592,1.71668e+02,2.20040e-07
12100,0.22324,3.35026e-03,6.44131e+01,2.62207e-01,6.93185e-01,7.37113e-02,0.00407071,1.72874e+02,-6.91688e-07
12200,0.18182,2.23369e-03,4.19412e+01,3.85372e-01,7.40376e-01,9.11194e-02,0.00918838,1.74075e+02,5.41454e-07
12300,0.29323,5.73792e-03,6.09454e+01,4.63951e-01,9.16933e-01,8.45398e-02,0.00761257,1.75273e+02,3.07958e-07
12400,0.23803,3.79774e-03,7.48047e+01,4.89507e-01,9.58870e-01,8.69780e-02,0.00654380,1.76468e+02,3.45264e-07
12500,0.24746,4.11881e-03,5.32136e+01,4.92108e-01,1.05408e+00,1.48597e-01,0.00924779,1.77660e+02,-3.05446e-08
12600,0.31578,6.74759e-03,5.41727e+01,4.38278e-01,1.10584e+00,1.26322e-01,0.00809038,1.78848e+02,1.89471e-06
12700,0.16951,1.93553e-03,6.50168e+01,3.39402e-01,8.73584e-01,6.57623e-02,0.00522022,1.80034e+02,5.67002e-07
12800,0.21005,2.96611e-03,5.36812e+01,3.31666e-01,7.65434e-01,9.62758e-02,0.00617843,1.81216e+02,-2.36845e-07
12900,0.16475,1.79825e-03,6.16168e+01,3.18592e-01,7.14156e-01,1.13487e-01,0.00517054,1.82394e+02,2.25546e-07
13000,0.21324,3.03204e-03,6.86580e+01,4.02403e-01,7.29085e-01,1.07305e-01,0.00586098,1.83569e+02,-1.05635e-07
13100,0.20480,2.84112e-03,6.32274e+01,5.22387e-01,8.26593e-01,1.20098e-01,0.00826202,1.84741e+02,-4.27120e-07
13200,0.38567,9.97794e-03,5.99035e+01,4.96828e-01,8.53048e-01,1.32464e-01,0.00829381,1.85909e+02,5.39734e-08
13300,0.13765,1.26928e-03,6.00638e+01,3.57487e-01,9.19890e-01,1.15869e-01,0.00595179,1.87074e+02,5.58600e-07
