height_1,height_2,height_3,n_peaks,r_peak_1,r_peak_2,r_peak_3,step,twist_total
0.001095,,,1,0.2,,,28500,0.21830504853632718
0.000693,,,1,0.2,,,28600,0.2516551562445021
0.001106,,,1,0.2,,,28700,0.2759188842862307
0.001126,,,1,0.4,,,28800,0.26889684291867805
0.001501,,,1,0.2,,,28900,0.2625491842025549
0.001037,,,1,0.2,,,29000,0.25031353143068324
0.001086,,,1,0.2,,,29100,0.21046829906070008
0.000361,,,1,0.8,,,29200,0.206033880786791
0.001275,,,1,0.4,,,29300,0.2492321746975598
0.001086,,,1,0.2,,,29400,0.2759757144796502
0.000661,,,1,0.2,,,29500,0.27269202019935573
0.001364,,,1,0.2,,,29600,0.26409603580606966
0.000725,,,1,0.4,,,29700,0.23496238391182664
0.001132,,,1,0.2,,,29800,0.2107453713283113
0.000879,,,1,0.4,,,29900,0.21279146951645855
0.000893,,,1,0.4,,,30000,0.23011533219814753
0.000632,,,1,0.4,,,30100,0.26426177890247615
0.001833,,,1,0.2,,,30200,0.2902109992282861
0.001198,,,1,0.2,,,30300,0.25305362672205206
0.000466,,,1,0.6,,,30400,0.2168749104056836
0.002041,,,1,0.2,,,30500,0.20910152956995323
0.000522,,,1,0.6,,,30600,0.20282247317647747
0.000774,,,1,0.2,,,30700,0.22741193884906333
0.001253,,,1,0.4,,,30800,0.26346338342845516
0.000964,,,1,0.2,,,30900,0.2668825610582536
0.000752,,,1,0.4,,,31000,0.25722269651991003
0.002208,,,1,0.2,,,31100,0.22307401697119278
0.000779,,,1,0.4,,,31200,0.1854155707586048
0.000684,0.0004,,2,0.2,0.8,,31300,0.19353646155819093
0.00159,,,1,0.2,,,31400,0.2410488313002827
0.000643,,,1,0.6,,,31500,0.2564929919959287
0.001247,0.000354,,2,0.2,0.8,,31600,0.25812647681654766
0.000926,,,1,0.4,,,31700,0.2554343194404859
0.00099,0.000256,,2,0.2,1.0,,31800,0.22133252571259798
0.000719,,,1,0.2,,,31900,0.1854326081955874
0.001287,,,1,0.4,,,32000,0.19371920963548273
0.0005,,,1,0.6,,,32100,0.22465463227703444
0.001667,,,1,0.2,,,32200,0.2647978384017603
0.001102,,,1,0.2,,,32300,0.27011011829323
0.000679,,,1,0.4,,,32400,0.23159972059765616
0.001151,,,1,0.2,,,32500,0.2033885455057355
0.0012,,,1,0.4,,,32600,0.197835276730512
0.000512,,,1,0.4,,,32700,0.18535034493468464
0.001104,,,1,0.2,,,32800,0.2181908176034141
0.001672,,,1,0.4,,,32900,0.26249061256206113
0.000616,,,1,0.2,,,33000,0.26045403698129327
0.002173,,,1,0.2,,,33100,0.23148555329347337
0.000948,,,1,0.4,,,33200,0.19005084554839285
0.000558,0.000337,,2,0.2,0.8,,33300,0.16551301543243183
0.001113,,,1,0.2,,,33400,0.19335128651424846
0.000678,,,1,0.2,,,33500,0.22629854632585525
0.000936,,,1,0.4,,,33600,0.24497820241237928
0.001113,,,1,0.2,,,33700,0.2567680933395489
0.001348,,,1,0.4,,,33800,0.2421550203448763
0.000635,0.000392,,2,0.2,0.8,,33900,0.19528275570595563
0.001115,,,1,0.2,,,34000,0.1659184206189196
0.00122,,,1,0.4,,,34100,0.18320488192972567
0.001336,,,1,0.2,,,34200,0.22524418563016094
0.001177,,,1,0.4,,,34300,0.2570479148386921
0.000853,,,1,0.2,,,34400,0.2446964525307376
0.000811,0.000305,,2,0.2,0.8,,34500,0.21571977796004263
0.000736,,,1,0.2,,,34600,0.19585054558145298
0.001007,,,1,0.2,,,34700,0.1742885017971633
0.000503,,,1,0.4,,,34800,0.16899268059646233
0.000734,,,1,0.2,,,34900,0.21409883002511867
0.001335,,,1,0.4,,,35000,0.25627711209356996
0.001169,,,1,0.2,,,35100,0.24524548414577854
0.000738,,,1,0.2,,,35200,0.20365113609211266
0.000775,,,1,0.4,,,35300,0.17327653469392215
0.000703,,,1,0.2,,,35400,0.16626333790691958
0.000887,,,1,0.2,,,35500,0.1872949890202596
