step,twist_energy_total,discarded_total,Lz_total
6975,7.28827e+00,9.15424e-02,5.70290e-20
7000,5.45484e+00,7.19391e-02,-3.01842e-19
7025,4.85967e+00,6.20736e-02,1.56125e-19
7050,4.99669e+00,6.22831e-02,-8.97719e-20
7075,4.39473e+00,6.25345e-02,-6.99310e-21
7100,4.30166e+00,7.25338e-02,5.40366e-19
7125,5.57045e+00,9.54655e-02,1.93530e-19
7150,5.96025e+00,1.08132e-01,1.75207e-19
7175,4.61793e+00,9.99919e-02,2.49800e-19
7200,3.34789e+00,8.53560e-02,1.76942e-19
7225,2.91590e+00,7.52670e-02,-1.63064e-19
7250,2.74171e+00,7.02391e-02,5.89806e-20
7275,2.90842e+00,7.32868e-02,-1.40946e-20
7300,3.41885e+00,8.27222e-02,1.40946e-20
7325,3.21338e+00,8.58455e-02,3.40006e-19
7350,2.45436e+00,8.11824e-02,8.74301e-19
7375,2.85862e+00,8.51394e-02,4.85723e-19
7400,4.84655e+00,1.06830e-01,-1.76942e-19
7425,7.23157e+00,1.38136e-01,2.46222e-19
7450,8.34217e+00,1.58963e-01,3.03577e-21
7475,7.09367e+00,1.49639e-01,1.36176e-19
7500,4.44132e+00,1.14144e-01,2.55872e-19
7525,2.41594e+00,8.03169e-02,8.37004e-20
7550,1.79368e+00,7.49817e-02,3.11383e-19
7575,2.79651e+00,1.10882e-01,-9.02056e-20
7600,5.59830e+00,1.78387e-01,1.13191e-18
7625,8.81871e+00,2.38339e-01,-3.93999e-19
7650,9.53064e+00,2.41298e-01,2.15106e-19
7675,6.98111e+00,1.85958e-01,1.72605e-19
7700,3.90694e+00,1.37530e-01,-2.98806e-19
7725,2.96076e+00,1.69551e-01,-5.55112e-20
7750,5.88287e+00,3.17389e-01,-4.77049e-20
7775,1.09000e+01,5.27341e-01,8.32667e-20
7800,1.23089e+01,6.69828e-01,-1.62110e-18
7825,9.75235e+00,6.69643e-01,2.34188e-19
7850,6.50684e+00,5.52647e-01,5.48173e-19
7875,3.85156e+00,3.95199e-01,-7.10369e-19
7900,2.07563e+00,2.95161e-01,1.21431e-20
7925,1.81620e+00,3.24376e-01,9.24608e-19
7950,3.45657e+00,4.86268e-01,1.25941e-18
7975,5.98123e+00,7.15304e-01,-2.09511e-18
8000,8.61258e+00,9.23917e-01,1.50487e-19
8025,1.07887e+01,1.05588e+00,6.44450e-19
8050,1.13976e+01,1.08383e+00,-2.63678e-19
8075,9.41728e+00,1.01351e+00,-8.84709e-19
8100,5.87761e+00,8.86912e-01,2.77556e-18
8125,2.89134e+00,7.65036e-01,-6.45317e-19
8150,1.63262e+00,6.92604e-01,9.50628e-19
8175,1.44393e+00,6.76339e-01,-6.86950e-19
8200,2.12945e+00,7.11490e-01,-9.26342e-19
8225,3.63578e+00,7.97799e-01,3.34802e-19
8250,5.14931e+00,9.35361e-01,1.51094e-18
8275,6.42947e+00,1.11453e+00,1.10328e-18
8300,7.06968e+00,1.27874e+00,-5.55112e-20
8325,6.06259e+00,1.32160e+00,1.97412e-18
8350,4.06761e+00,1.17987e+00,1.38431e-18
8375,2.64827e+00,9.34253e-01,8.86444e-19
8400,1.96848e+00,8.02843e-01,1.11022e-18
8425,2.04347e+00,9.98748e-01,-8.70831e-19
8450,3.05226e+00,1.57472e+00,2.11636e-18
8475,4.83631e+00,2.34923e+00,-1.11716e-18
8500,6.36996e+00,2.97424e+00,-2.08514e-18
8525,6.48244e+00,3.14501e+00,9.98984e-19
8550,5.20118e+00,2.87605e+00,3.77432e-18
8575,3.35036e+00,2.62297e+00,-4.85723e-20
8600,2.68823e+00,3.01941e+00,9.99201e-19
8625,5.10582e+00,4.35902e+00,1.66533e-18
8650,1.12478e+01,6.15616e+00,-1.47105e-18
8675,1.51473e+01,7.28336e+00,-4.62130e-18
8700,1.23170e+01,6.85247e+00,4.37172e-18
8725,6.80887e+00,5.15453e+00,-7.00828e-18
8750,4.20435e+00,3.53676e+00,2.15800e-18
8775,2.76225e+00,3.44989e+00,-3.20056e-18
8800,2.02381e+00,5.55602e+00,-9.12465e-18
8825,3.46663e+00,9.42802e+00,1.18239e-17
8850,7.12443e+00,1.38552e+01,4.45824e-19
8875,1.36455e+01,1.74230e+01,1.69309e-17
8900,1.92018e+01,1.89547e+01,5.71418e-18
8925,1.94331e+01,1.78867e+01,-2.09012e-18
8950,1.36925e+01,1.48002e+01,-3.66374e-18
8975,8.27891e+00,1.13585e+01,2.24777e-18
9000,5.27071e+00,9.43374e+00,3.12272e-18
9025,3.81820e+00,9.96342e+00,6.66134e-19
9050,3.73803e+00,1.25210e+01,-1.05818e-18
9075,4.44862e+00,1.59271e+01,-8.25728e-18
9100,5.69660e+00,1.92327e+01,-2.61249e-18
9125,7.00174e+00,2.21065e+01,3.73312e-18
9150,8.06285e+00,2.43972e+01,-7.97973e-18
9175,8.11257e+00,2.56212e+01,6.30052e-18
9200,7.25401e+00,2.51137e+01,-2.23779e-18
9225,6.17358e+00,2.28354e+01,9.32587e-18
9250,5.62486e+00,1.99880e+01,1.33400e-18
9275,5.72646e+00,1.87197e+01,-7.54258e-18
9300,6.61446e+00,2.07671e+01,-5.64132e-18
9325,8.12221e+00,2.59039e+01,8.95117e-18
9350,1.01291e+01,3.19068e+01,-3.63598e-18
9375,1.19371e+01,3.64990e+01,1.94289e-17
9400,1.23781e+01,3.93094e+01,2.22045e-18
9425,1.19791e+01,4.21585e+01,-1.49880e-18
9450,1.05663e+01,4.82097e+01,4.10783e-18
9475,1.12082e+01,6.06057e+01,3.99680e-18
9500,1.57743e+01,7.97356e+01,-2.81025e-19
9525,2.31424e+01,9.94029e+01,1.91444e-17
9550,2.82641e+01,1.07442e+02,-2.34812e-17
9575,2.41744e+01,9.54774e+01,-3.12528e-17
9600,1.61550e+01,7.03251e+01,-1.72085e-17
9625,1.11411e+01,5.33079e+01,1.27762e-18
9650,1.39956e+01,6.67730e+01,-1.48492e-18
9675,2.70069e+01,1.19838e+02,-5.49560e-18
9700,4.76902e+01,2.00727e+02,2.44249e-18
9725,6.25272e+01,2.78999e+02,2.32592e-17
9750,6.49588e+01,3.19847e+02,5.78149e-17
9775,5.37068e+01,3.05428e+02,1.27676e-18
9800,3.67869e+01,2.48256e+02,-3.11695e-17
9825,2.33068e+01,1.85821e+02,2.44527e-17
9850,2.36712e+01,1.58442e+02,1.11022e-17
9875,3.90824e+01,1.84489e+02,-4.21885e-18
9900,5.67167e+01,2.49209e+02,-1.46549e-17
9925,6.31589e+01,3.17050e+02,4.10783e-18
9950,5.86312e+01,3.59867e+02,3.81917e-17
9975,5.06844e+01,3.76705e+02,4.97935e-17
10000,4.75174e+01,3.86017e+02,-5.80647e-17
